"C:\Program Files\Java\jdk1.8.0_131\bin\java" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\lib\idea_rt.jar=58072:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\bin" -Dfile.encoding=UTF-8 -classpath "C:\Program Files\Java\jdk1.8.0_131\jre\lib\charsets.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\deploy.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\access-bridge-64.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\cldrdata.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\dnsns.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\jaccess.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\jfxrt.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\localedata.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\nashorn.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\sunec.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\sunjce_provider.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\sunmscapi.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\sunpkcs11.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\ext\zipfs.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\javaws.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\jce.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\jfr.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\jfxswt.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\jsse.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\management-agent.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\plugin.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\resources.jar;C:\Program Files\Java\jdk1.8.0_131\jre\lib\rt.jar;D:\dev\751G10\MavenTest\target\classes;C:\Users\Will\.m2\repository\org\openjdk\jmh\jmh-core\1.0\jmh-core-1.0.jar;C:\Users\Will\.m2\repository\net\sf\jopt-simple\jopt-simple\4.6\jopt-simple-4.6.jar;C:\Users\Will\.m2\repository\org\apache\commons\commons-math3\3.2\commons-math3-3.2.jar" org.sample.MyBenchmark
# VM invoker: C:\Program Files\Java\jdk1.8.0_131\jre\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\lib\idea_rt.jar=58072:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\bin -Dfile.encoding=UTF-8
# Warmup: 10 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.sample.MyBenchmark.testMethod1

# Run progress: 0.00% complete, ETA 00:09:10
# Fork: 1 of 1
# Warmup Iteration   1: 88484.973 ops/s
# Warmup Iteration   2: 105024.827 ops/s
# Warmup Iteration   3: 104059.220 ops/s
# Warmup Iteration   4: 104814.510 ops/s
# Warmup Iteration   5: 105071.648 ops/s
# Warmup Iteration   6: 98247.759 ops/s
# Warmup Iteration   7: 104651.050 ops/s
# Warmup Iteration   8: 105206.935 ops/s
# Warmup Iteration   9: 105149.489 ops/s
# Warmup Iteration  10: 105314.255 ops/s
Iteration  96: 105608.103 ops/s
Iteration  97: 105653.490 ops/s
Iteration  98: 105676.564 ops/s
Iteration  99: 105796.063 ops/s
Iteration 100: 105577.362 ops/s


Result: 105213.618 ±(99.9%) 398.996 ops/s [Average]
  Statistics: (min, avg, max) = (96350.593, 105213.618, 106240.975), stdev = 1176.448
  Confidence interval (99.9%): [104814.623, 105612.614]


# VM invoker: C:\Program Files\Java\jdk1.8.0_131\jre\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\lib\idea_rt.jar=58072:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\bin -Dfile.encoding=UTF-8
# Warmup: 10 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.sample.MyBenchmark.testMethod2

# Run progress: 20.00% complete, ETA 00:08:51
# Fork: 1 of 1
# Warmup Iteration   1: 39233.419 ops/s
# Warmup Iteration   2: 42636.426 ops/s
# Warmup Iteration   3: 42985.737 ops/s
# Warmup Iteration   4: 43201.400 ops/s
# Warmup Iteration   5: 43363.703 ops/s
# Warmup Iteration   6: 43096.429 ops/s
# Warmup Iteration   7: 42244.133 ops/s
# Warmup Iteration   8: 43155.964 ops/s
# Warmup Iteration   9: 43177.652 ops/s
# Warmup Iteration  10: 43033.969 ops/s
Iteration   1: 43170.883 ops/s
Iteration   2: 42876.179 ops/s
Iteration   3: 42962.840 ops/s
Iteration   4: 43199.816 ops/s
Iteration   5: 43042.004 ops/s
Iteration   6: 43132.359 ops/s
Iteration   7: 43031.511 ops/s
Iteration   8: 42967.148 ops/s
Iteration   9: 42893.306 ops/s
Iteration  10: 42754.593 ops/s
Iteration  11: 42827.145 ops/s
Iteration  12: 43059.574 ops/s
Iteration  13: 42963.985 ops/s
Iteration  14: 43045.909 ops/s
Iteration  15: 42927.467 ops/s
Iteration  16: 43026.021 ops/s
Iteration  17: 42469.125 ops/s
Iteration  18: 42726.927 ops/s
Iteration  19: 42604.541 ops/s
Iteration  20: 42462.760 ops/s
Iteration  21: 42761.862 ops/s
Iteration  22: 42324.927 ops/s
Iteration  23: 42667.557 ops/s
Iteration  24: 42712.021 ops/s
Iteration  25: 42969.805 ops/s
Iteration  26: 42969.664 ops/s
Iteration  27: 43064.647 ops/s
Iteration  28: 43000.021 ops/s
Iteration  29: 43011.627 ops/s
Iteration  30: 42921.770 ops/s
Iteration  31: 42949.115 ops/s
Iteration  32: 42943.884 ops/s
Iteration  33: 43022.435 ops/s
Iteration  34: 42931.816 ops/s
Iteration  35: 43031.093 ops/s
Iteration  36: 42992.140 ops/s
Iteration  37: 43094.016 ops/s
Iteration  38: 43018.045 ops/s
Iteration  39: 43069.831 ops/s
Iteration  40: 42797.851 ops/s
Iteration  41: 43006.626 ops/s
Iteration  42: 42920.779 ops/s
Iteration  43: 42916.811 ops/s
Iteration  44: 43019.782 ops/s
Iteration  45: 42918.396 ops/s
Iteration  46: 42846.209 ops/s
Iteration  47: 42977.593 ops/s
Iteration  48: 42965.154 ops/s
Iteration  49: 42772.978 ops/s
Iteration  50: 43073.230 ops/s
Iteration  51: 42939.163 ops/s
Iteration  52: 43008.150 ops/s
Iteration  53: 43104.502 ops/s
Iteration  54: 43047.732 ops/s
Iteration  55: 43011.680 ops/s
Iteration  56: 42944.387 ops/s
Iteration  57: 42781.606 ops/s
Iteration  58: 42930.146 ops/s
Iteration  59: 42922.671 ops/s
Iteration  60: 42732.034 ops/s
Iteration  61: 43071.515 ops/s
Iteration  62: 43060.802 ops/s
Iteration  63: 42912.482 ops/s
Iteration  64: 42862.686 ops/s
Iteration  65: 42988.855 ops/s
Iteration  66: 43071.437 ops/s
Iteration  67: 42937.117 ops/s
Iteration  68: 42946.788 ops/s
Iteration  69: 43100.006 ops/s
Iteration  70: 42966.217 ops/s
Iteration  71: 42932.273 ops/s
Iteration  72: 42957.853 ops/s
Iteration  73: 42967.675 ops/s
Iteration  74: 43057.490 ops/s
Iteration  75: 42936.189 ops/s
Iteration  76: 43049.345 ops/s
Iteration  77: 43047.809 ops/s
Iteration  78: 42947.964 ops/s
Iteration  79: 42930.571 ops/s
Iteration  80: 43106.795 ops/s
Iteration  81: 43003.848 ops/s
Iteration  82: 43041.850 ops/s
Iteration  83: 42998.908 ops/s
Iteration  84: 43036.049 ops/s
Iteration  85: 42898.149 ops/s
Iteration  86: 42977.899 ops/s
Iteration  87: 43020.159 ops/s
Iteration  88: 43072.647 ops/s
Iteration  89: 43018.447 ops/s
Iteration  90: 43035.663 ops/s
Iteration  91: 42970.738 ops/s
Iteration  92: 43017.707 ops/s
Iteration  93: 42954.560 ops/s
Iteration  94: 43000.695 ops/s
Iteration  95: 42998.210 ops/s
Iteration  96: 42913.073 ops/s
Iteration  97: 43030.042 ops/s
Iteration  98: 42975.637 ops/s
Iteration  99: 42926.747 ops/s
Iteration 100: 43027.715 ops/s


Result: 42950.085 ±(99.9%) 47.580 ops/s [Average]
  Statistics: (min, avg, max) = (42324.927, 42950.085, 43199.816), stdev = 140.292
  Confidence interval (99.9%): [42902.504, 42997.665]


# VM invoker: C:\Program Files\Java\jdk1.8.0_131\jre\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\lib\idea_rt.jar=58072:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\bin -Dfile.encoding=UTF-8
# Warmup: 10 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.sample.MyBenchmark.testMethod3

# Run progress: 40.00% complete, ETA 00:06:38
# Fork: 1 of 1
# Warmup Iteration   1: 5781.041 ops/s
# Warmup Iteration   2: 6627.993 ops/s
# Warmup Iteration   3: 6462.988 ops/s
# Warmup Iteration   4: 6410.668 ops/s
# Warmup Iteration   5: 6408.292 ops/s
# Warmup Iteration   6: 6564.564 ops/s
# Warmup Iteration   7: 6455.607 ops/s
# Warmup Iteration   8: 6431.927 ops/s
# Warmup Iteration   9: 6431.545 ops/s
# Warmup Iteration  10: 6430.444 ops/s
Iteration   1: 6293.954 ops/s
Iteration   2: 6387.131 ops/s
Iteration   3: 6326.792 ops/s
Iteration   4: 6377.953 ops/s
Iteration   5: 6354.046 ops/s
Iteration   6: 6374.237 ops/s
Iteration   7: 6431.209 ops/s
Iteration   8: 6494.646 ops/s
Iteration   9: 6492.236 ops/s
Iteration  10: 6518.272 ops/s
Iteration  11: 6566.632 ops/s
Iteration  12: 6546.296 ops/s
Iteration  13: 6591.333 ops/s
Iteration  14: 6437.404 ops/s
Iteration  15: 6474.090 ops/s
Iteration  16: 6506.314 ops/s
Iteration  17: 6469.553 ops/s
Iteration  18: 6531.323 ops/s
Iteration  19: 6506.549 ops/s
Iteration  20: 6526.128 ops/s
Iteration  21: 6507.627 ops/s
Iteration  22: 6466.335 ops/s
Iteration  23: 6454.771 ops/s
Iteration  24: 6459.436 ops/s
Iteration  25: 6476.635 ops/s
Iteration  26: 6475.122 ops/s
Iteration  27: 6565.589 ops/s
Iteration  28: 6487.935 ops/s
Iteration  29: 6476.718 ops/s
Iteration  30: 6455.366 ops/s
Iteration  31: 6523.745 ops/s
Iteration  32: 6555.115 ops/s
Iteration  33: 6545.939 ops/s
Iteration  34: 6551.150 ops/s
Iteration  35: 6333.039 ops/s
Iteration  36: 6258.094 ops/s
Iteration  37: 6339.817 ops/s
Iteration  38: 6499.544 ops/s
Iteration  39: 6489.383 ops/s
Iteration  40: 6424.121 ops/s
Iteration  41: 6418.347 ops/s
Iteration  42: 6481.619 ops/s
Iteration  43: 6420.266 ops/s
Iteration  44: 6457.943 ops/s
Iteration  45: 6512.971 ops/s
Iteration  46: 6471.179 ops/s
Iteration  47: 6503.055 ops/s
Iteration  48: 6501.888 ops/s
Iteration  49: 6487.741 ops/s
Iteration  50: 6443.597 ops/s
Iteration  51: 6496.563 ops/s
Iteration  52: 6485.419 ops/s
Iteration  53: 6529.483 ops/s
Iteration  54: 6445.471 ops/s
Iteration  55: 6498.567 ops/s
Iteration  56: 6493.174 ops/s
Iteration  57: 6498.391 ops/s
Iteration  58: 6500.383 ops/s
Iteration  59: 6499.764 ops/s
Iteration  60: 6528.059 ops/s
Iteration  61: 6459.281 ops/s
Iteration  62: 6560.033 ops/s
Iteration  63: 6501.612 ops/s
Iteration  64: 6489.762 ops/s
Iteration  65: 6481.355 ops/s
Iteration  66: 6499.063 ops/s
Iteration  67: 6547.059 ops/s
Iteration  68: 6439.106 ops/s
Iteration  69: 6466.331 ops/s
Iteration  70: 6424.358 ops/s
Iteration  71: 6358.472 ops/s
Iteration  72: 6448.525 ops/s
Iteration  73: 6463.013 ops/s
Iteration  74: 6469.800 ops/s
Iteration  75: 6452.228 ops/s
Iteration  76: 6416.970 ops/s
Iteration  77: 6477.181 ops/s
Iteration  78: 6501.937 ops/s
Iteration  79: 6486.822 ops/s
Iteration  80: 6416.691 ops/s
Iteration  81: 6498.182 ops/s
Iteration  82: 6493.820 ops/s
Iteration  83: 6504.971 ops/s
Iteration  84: 6539.194 ops/s
Iteration  85: 6436.192 ops/s
Iteration  86: 6493.676 ops/s
Iteration  87: 6393.194 ops/s
Iteration  88: 6433.780 ops/s
Iteration  89: 6551.973 ops/s
Iteration  90: 6422.304 ops/s
Iteration  91: 6464.407 ops/s
Iteration  92: 6475.160 ops/s
Iteration  93: 6517.916 ops/s
Iteration  94: 6472.905 ops/s
Iteration  95: 6478.809 ops/s
Iteration  96: 6469.834 ops/s
Iteration  97: 6431.901 ops/s
Iteration  98: 6475.915 ops/s
Iteration  99: 6526.349 ops/s
Iteration 100: 6473.645 ops/s


Result: 6471.392 ±(99.9%) 20.102 ops/s [Average]
  Statistics: (min, avg, max) = (6258.094, 6471.392, 6591.333), stdev = 59.271
  Confidence interval (99.9%): [6451.290, 6491.494]


# VM invoker: C:\Program Files\Java\jdk1.8.0_131\jre\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\lib\idea_rt.jar=58072:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2017.2.1\bin -Dfile.encoding=UTF-8
# Warmup: 10 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.sample.MyBenchmark.testMethod4

# Run progress: 60.00% complete, ETA 00:04:25
# Fork: 1 of 1
# Warmup Iteration   1: 30571.106 ops/s
# Warmup Iteration   2: 38551.309 ops/s
# Warmup Iteration   3: 41991.866 ops/s
# Warmup Iteration   4: 42925.416 ops/s
# Warmup Iteration   5: 42953.906 ops/s
# Warmup Iteration   6: 42563.179 ops/s
# Warmup Iteration   7: 42002.231 ops/s
# Warmup Iteration   8: 42555.531 ops/s
# Warmup Iteration   9: 42747.568 ops/s
# Warmup Iteration  10: 42360.922 ops/s
Iteration   1: 41881.545 ops/s
Iteration   2: 41437.888 ops/s
Iteration   3: 42012.749 ops/s
Iteration   4: 42080.803 ops/s
Iteration   5: 42332.998 ops/s
Iteration   6: 42015.372 ops/s
Iteration   7: 42475.167 ops/s
Iteration   8: 41955.887 ops/s
Iteration   9: 42171.274 ops/s
Iteration  10: 42427.514 ops/s
Iteration  11: 42157.203 ops/s
Iteration  12: 42102.899 ops/s
Iteration  13: 42334.232 ops/s
Iteration  14: 42292.563 ops/s
Iteration  15: 42648.840 ops/s
Iteration  16: 42356.954 ops/s
Iteration  17: 41848.087 ops/s
Iteration  18: 42383.486 ops/s
Iteration  19: 42226.576 ops/s
Iteration  20: 42374.628 ops/s
Iteration  21: 42420.603 ops/s
Iteration  22: 42441.661 ops/s
Iteration  23: 42270.123 ops/s
Iteration  24: 42324.597 ops/s
Iteration  25: 42323.506 ops/s
Iteration  26: 42555.131 ops/s
Iteration  27: 42293.365 ops/s
Iteration  28: 42211.953 ops/s
Iteration  29: 42157.277 ops/s
Iteration  30: 42368.344 ops/s
